G,Date,Home/Away,Opp,Result,GS,MP,FT,FTA,FT%,PTS
1,2020-12-23,@,BOS,L (-1),1,36:24:00,6,8,0.75,35
2,2020-12-25,,GSW,W (+39),1,26:42:00,7,15,0.467,15
3,2020-12-27,@,NYK,L (-20),1,31:59:00,8,13,0.615,27
4,2020-12-29,@,MIA,W (+47),1,24:14:00,3,5,0.6,9
5,2020-12-30,@,MIA,L (-11),1,38:01:00,4,4,1,26
6,2021-01-01,,CHI,W (+30),1,27:46:00,10,18,0.556,29
7,2021-01-04,,DET,W (+10),1,36:04:00,7,9,0.778,43
8,2021-01-06,,DET,W (+15),1,28:28:00,8,14,0.571,25
9,2021-01-08,,UTA,L (-13),1,32:41:00,5,7,0.714,35
,2021-01-09,,CLE,W (+10),Inac,Inac,Inac,Inac,Inac,Inac
10,2021-01-11,@,ORL,W (+22),1,27:17:00,4,7,0.571,22
11,2021-01-13,@,DET,W (+9),1,33:28:00,6,10,0.6,22
12,2021-01-15,,DAL,W (+3),1,30:12:00,1,10,0.1,31
13,2021-01-18,@,BRK,L (-2),1,39:48:00,6,8,0.75,34
14,2021-01-21,,LAL,L (-7),1,35:04:00,2,4,0.5,25
15,2021-01-24,,ATL,W (+14),1,36:22:00,9,15,0.6,27
16,2021-01-27,@,TOR,W (+7),1,37:47:00,8,14,0.571,24
17,2021-01-29,@,NOP,L (-5),1,38:51:00,6,7,0.857,38
18,2021-01-30,@,CHO,L (-12),1,39:24:00,10,18,0.556,34
19,2021-02-01,,POR,W (+28),1,25:46:00,2,3,0.667,18
20,2021-02-03,,IND,W (+20),1,30:38:00,7,8,0.875,21
21,2021-02-05,@,CLE,W (+18),1,33:20:00,6,8,0.75,33
22,2021-02-06,@,CLE,W (+25),1,31:49:00,7,11,0.636,24
23,2021-02-08,@,DEN,W (+13),1,34:18:00,6,8,0.75,30
24,2021-02-10,@,PHO,L (-1),1,37:55:00,17,21,0.81,47
25,2021-02-12,@,UTA,L (-14),1,38:53:00,4,6,0.667,29
26,2021-02-14,@,OKC,L (-5),1,35:56:00,3,3,1,24
27,2021-02-16,,TOR,L (-11),1,37:17:00,10,14,0.714,34
28,2021-02-18,,TOR,L (-14),1,37:05:00,7,13,0.538,23
29,2021-02-19,,OKC,W (+13),1,35:45:00,8,10,0.8,29
30,2021-02-21,,SAC,W (+13),1,33:29:00,19,24,0.792,38
31,2021-02-23,,MIN,W (+27),1,29:09:00,10,13,0.769,37
32,2021-02-25,,NOP,W (+4),1,37:52:00,8,10,0.8,38
33,2021-02-28,,LAC,W (+5),1,39:55:00,4,6,0.667,36
34,2021-03-02,,DEN,L (-31),1,32:59:00,7,10,0.7,27
35,2021-03-04,@,MEM,W (+1),1,36:14:00,5,9,0.556,26
36,2021-03-11,,NYK,W (+33),1,29:23:00,7,7,1,24
37,2021-03-13,@,WAS,W (+6),1,36:11:00,7,8,0.875,33
38,2021-03-15,@,WAS,W (+11),1,35:43:00,6,6,1,31
39,2021-03-17,@,PHI,W (+4),1,42:51:00,5,8,0.625,32
40,2021-03-20,,SAS,W (+7),1,33:40:00,6,7,0.857,26
,2021-03-22,,IND,W (+27),Inac,Inac,Inac,Inac,Inac,Inac
41,2021-03-24,,BOS,W (+2),1,32:53:00,4,7,0.571,13
42,2021-03-26,,BOS,L (-8),1,27:18:00,3,6,0.5,16
,2021-03-27,,NYK,L (-6),Did,Did,Did,Did,Did,Did
43,2021-03-29,@,LAC,L (-24),1,33:44:00,10,12,0.833,32
44,2021-03-31,@,LAL,W (+15),1,35:30:00,8,10,0.8,25
45,2021-04-02,@,POR,W (+18),1,33:05:00,11,13,0.846,47
,2021-04-03,@,SAC,W (+1),Inac,Inac,Inac,Inac,Inac,Inac
,2021-04-06,@,GSW,L (-1),Inac,Inac,Inac,Inac,Inac,Inac
,2021-04-08,@,DAL,L (-15),Inac,Inac,Inac,Inac,Inac,Inac
,2021-04-09,,CHO,L (-8),Inac,Inac,Inac,Inac,Inac,Inac
,2021-04-11,@,ORL,W (+37),Inac,Inac,Inac,Inac,Inac,Inac
,2021-04-14,@,MIN,W (+25),Inac,Inac,Inac,Inac,Inac,Inac
46,2021-04-15,@,ATL,W (+11),1,24:52:00,0,2,0,15
47,2021-04-17,,MEM,L (-13),1,29:12:00,8,12,0.667,28
48,2021-04-19,,PHO,L (-1),1,35:11:00,9,10,0.9,33
49,2021-04-22,,PHI,W (+7),1,35:26:00,10,18,0.556,27
50,2021-04-24,,PHI,W (+38),1,23:43,5,10,0.5,24
51,2021-04-25,@,ATL,L (-7),1,35:20:00,8,10,0.8,31
52,2021-04-27,@,CHO,W (+10),1,37:28:00,5,5,1,29
53,2021-04-29,@,HOU,L (-7),1,0:46,1,2,0.5,1
,2021-04-30,@,CHI,W (+10),Inac,Inac,Inac,Inac,Inac,Inac
54,2021-05-02,,BRK,W (+3),1,35:40:00,3,6,0.5,49
55,2021-05-04,,BRK,W (+6),1,37:25:00,10,12,0.833,36
56,2021-05-05,,WAS,W (+1),1,29:40:00,7,8,0.875,23
57,2021-05-07,,HOU,W (+8),1,28:34:00,1,2,0.5,17
58,2021-05-10,@,SAS,L (-21),1,29:20:00,6,7,0.857,28
59,2021-05-11,,ORL,W (+12),1,32:16:00,5,8,0.625,27
60,2021-05-13,@,IND,W (+9),1,35:05:00,11,16,0.688,40
61,2021-05-15,,MIA,W (+14),1,33:39:00,2,6,0.333,15
